Name;Descrição;Função;Dificuldade;Skills;Skins;Link
Aatrox;Antes defensores honrados de Shurima contra o temido Vazio, Aatrox e seus irmãos acabaram se tornando uma ameaça ainda maior para Runeterra, e a única coisa capaz de derrotá-los foi um tipo de feitiçaria mortal e traiçoeira. Mas após séculos de...;Lutador;Média;['Postura do Arauto da Morte', 'A Espada Darkin', 'Correntes Infernais', 'Avanço Umbral', 'Aniquilador de Mundos'];['Aatrox Justiceiro', 'Mech Aatrox', 'Aatrox Caçador dos Mares', 'Aatrox Lua Sangrenta', 'Aatrox Lua Sangrenta de Prestígio', 'Aatrox Vitorioso', 'Aatrox Odisseia', 'Aatrox Lua Sangrenta de Prestígio (2022)', 'Aatrox Eclipse Lunar', 'Aatrox DRX', 'Aatrox DRX de Prestígio', 'Aatrox Primordiano'];https://www.leagueoflegends.com//pt-br/champions/aatrox/
Ahri;A ligação de Ahri com a magia do mundo espiritual é inata. Ela é uma vastaya com traços de raposa, capaz de manipular as emoções de sua presa e consumir sua essência, devorando também as memórias e as percepções de cada alma absorvida. Outrora uma...;Mago / Assassino;Média;['Furto de Essência', 'Orbe da Ilusão', 'Fogo de Raposa', 'Encanto', 'Ímpeto Espiritual'];['Ahri da Dinastia', 'Ahri Noturna', 'Ahri Raposa Flamejante', 'Ahri Estrela do Pop', 'Ahri Desafiante', 'Ahri Colegial', 'Ahri Fliperama', 'Ahri Guardiã Estelar', 'Ahri K/DA', 'Ahri K/DA de Prestígio', 'Ahri Sabugueiro', 'Ahri Florescer Espiritual', 'Ahri K/DA ALL OUT', 'Ahri Congregação das Bruxas', 'Ahri K/DA de Prestígio (2022)', 'Ahri Arcana', 'Ahri Lua Nevada', 'Ahri Lenda Ascendida', 'Ahri Lenda Imortalizada'];https://www.leagueoflegends.com//pt-br/champions/ahri/
Akali;Abandonando a Ordem Kinkou e seu título de Punho das Sombras, Akali agora ataca sozinha, pronta para ser a arma mortal que seu povo precisa. Embora ela mantenha tudo o que aprendeu com seu mestre Shen, ela se comprometeu a defender Ionia de seus...;Assassino;Média;['Marca do Assassino', 'Golpe dos Cinco Pontos', 'Proteção do Crepúsculo', 'Investida Shuriken', 'Execução Perfeita'];['Akali Sinistra', 'Akali Infernal', 'Akali Esportista', 'Akali Enfermeira', 'Akali Lua Sangrenta', 'Akali Presas de Prata', 'Akali Caçadora de Cabeças', 'Akali Sashimi', 'Akali K/DA', 'Akali K/DA de Prestígio', 'PROJETO: Akali', 'Akali True Damage', 'Akali K/DA ALL OUT', 'Akali Pesadelo na Cidade do Crime', 'Akali K/DA de Prestígio (2022)', 'Akali Guardiã Estelar', 'Akali DRX', 'Akali Congregação das Bruxas', 'Akali Congregação das Bruxas de Prestígio', 'Akali Empírea'];https://www.leagueoflegends.com//pt-br/champions/akali/
Akshan;Akshan ri da cara do perigo, lutando contra o mal com carisma, determinação e desejo de vingança, mas, estranhamente, sem vestir uma camisa sequer. É extremamente habilidoso na arte do combate furtivo, capaz de sumir da vista dos inimigos e reaparecer...;Atirador / Assassino;Baixa;['Lutando Sujo', 'Bumerangue Vingativo', 'Rebeldia', 'Impulso Heroico', 'Punição'];['Akshan Ciberpop', 'Akshan Rosa de Cristal', 'Akshan Três Honras'];https://www.leagueoflegends.com//pt-br/champions/akshan/
Alistar;Um poderoso guerreiro com uma temível reputação, Alistar busca vingança por seu clã, morto pelas mãos do império de Noxus. Apesar de ter sido escravizado e forçado a uma vida de gladiador, sua vontade indestrutível o impediu de se tornar uma fera de...;Tanque / Suporte;Média;['Urro Triunfante', 'Pulverizar', 'Cabeçada', 'Atropelar', 'Vontade Indestrutível'];['Alistar Negro', 'Alistar Dourado', 'Alistar Toureiro', 'Alistar Velho Oeste', 'Alistar Indomável', 'Alistar Infernal', 'Alistar Zagueiro', 'Alistar Saqueador', 'SKT T1 Alistar', 'Alistar Vaquinha', 'Alistar Hextec', 'Alistar Conquistador', 'Alistar Gelo Sombrio', 'Alistar Fera Lunar'];https://www.leagueoflegends.com//pt-br/champions/alistar/
Amumu;Reza a lenda que Amumu é uma alma solitária e melancólica da antiga Shurima que vaga sem rumo pelo mundo em busca de um amigo. Amaldiçoado por um feitiço ancestral para permanecer só pela eternidade, seu toque traz a morte e sua afeição, a ruína...;Tanque / Suporte;Baixa;['Toque Amaldiçoado', 'Lançar Bandagens', 'Desespero', 'Chilique', 'A Maldição da Múmia Triste'];['Amumu Faraó', 'Amumu Jogos de Inverno', 'Emumu', 'Amumu Presente de Grego', 'Amumu Quase-Rei do Baile', 'Amumu, o Minicavaleiro', 'Amumu, o Robozinho Triste', 'Amumu Festa Surpresa', 'Amumu Infernal', 'Amumu Hextec', 'Amumu Príncipe Abóbora', 'Amumu de Porcelana', 'Amumu Coração Despedaçado'];https://www.leagueoflegends.com//pt-br/champions/amumu/
Anivia;Anivia é um espírito alado e benevolente que suporta infinitos ciclos de vida, morte e renascimento para proteger Freljord. Uma semideusa nascida de ventos impiedosos e frios brutais, ela carrega esses poderes elementais para perseguir qualquer um que...;Mago;Alta;['Renascimento', 'Lampejo Gelado', 'Cristalizar', 'Congelamento', 'Tempestade Glacial'];['Anivia Espírito de Equipe', 'Anivia de Rapina', 'Anivia Caçadora de Noxus', 'Anivia Hextec', 'Anivia Gelo Sombrio', 'Anivia Pré-histórica', 'Carnanivia', 'Anivia de Papel', 'Anivia Asas Cósmicas', 'Anivia Fênix Divina', 'Morceganivia Feiticeira', 'Anivia Vitoriosa'];https://www.leagueoflegends.com//pt-br/champions/anivia/
Annie;Perigosa, mas adoravelmente precoce, Annie é uma pequena maga com imenso poder piromaníaco. Mesmo isolada nas sombras das montanhas ao norte de Noxus, ela causa estranhamento com sua magia. Sua afinidade natural com o fogo já era evidente desde a...;Mago / Suporte;Média;['Piromania', 'Desintegrar', 'Incinerar', 'Escudo Fundido', 'Invocar: Tibbers'];['Annie Gótica', 'Annie Chapeuzinho', 'Annie no País das Maravilhas', 'Annie Rainha do Baile', 'Annie do Raio de Gelo', 'Annie ao Contrário', 'Annie Frankenstibbers', 'Annie Panda', 'Annie Queridinha', 'Annie Hextec', 'Annie Supergaláctica', 'Annieversário', 'Annie Fera Lunar', 'Annie Kawaii Café', 'Annie Noite Apavorante', 'Annie Bênção do Inverno'];https://www.leagueoflegends.com//pt-br/champions/annie/
Aphelios;Emergindo da sombra do luar com suas armas em mãos, Aphelios abate os inimigos de sua fé em absoluto silêncio, comunicando-se apenas pela destreza de sua mira e pelo disparo de cada arma. Embora viva sob o efeito de um veneno que o emudeceu, ele é...;Atirador;Alta;['O Assassino e a Profetisa', 'Habilidades da arma', 'Fase', 'Sistema de Ordenação de Armas', 'Vigília do Plenilúnio'];['Aphelios Emissário da Escuridão', 'Aphelios Fera Lunar', 'Aphelios EDG', 'Aphelios Florescer Espiritual', 'Aphelios HEARTSTEEL'];https://www.leagueoflegends.com//pt-br/champions/aphelios/
Ashe;A mãe de guerra Glacinata da tribo de Avarosa, Ashe comanda a horda mais populosa do norte. Estoica, inteligente e idealista, mesmo que desconfortável com seu papel de liderança, ela canaliza as magias ancestrais de sua linhagem para empunhar um arco de...;Atirador / Suporte;Média;['Tiro Congelado', 'Concentração', 'Rajada', 'Olhar do Falcão', 'Flecha de Cristal Encantada'];['Ashe de Freljord', 'Ashe de Sherwood', 'Ashe Bretã', 'Ashe Rainha', 'Ashe Ametista', 'Ashe Cupido Mortal', 'Ashe Saqueadora', 'PROJETO: Ashe', 'Ashe Mundial 2017', 'Ashe Rainha Cósmica', 'Ashe Velho Oeste', 'Ashe Dragoa Feérica', 'Ashe Congregação das Bruxas', 'Ashe Canção do Oceano', 'Ashe Imperatriz Lunar', 'Ashe DRX', 'Ashe Crystalis Motus', 'Ashe Infernal'];https://www.leagueoflegends.com//pt-br/champions/ashe/
